Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,35,Travel_Rarely,809,R & D,16,Bachelor,Medical,1,11,Low,Male,84,Very High,JuniorLevel,Laboratory Technician,Medium,Married,2426,16479,0,No,13,Excellent,High,80,<100ESOPShares,6,5,Better,5,4,0,3
No,29,Travel_Rarely,153,R & D,15,College,Life Sciences,1,12,Very High,Female,49,Medium,MidLevel,Laboratory Technician,High,Single,4193,12682,0,Yes,12,Excellent,Very High,80,NoStockOption,10,3,Better,9,5,0,8
No,31,Travel_Rarely,670,R & D,26,Below College,Life Sciences,1,13,Low,Male,31,High,JuniorLevel,Research Scientist,High,Divorced,2911,15170,1,No,17,Excellent,Very High,80,<100ESOPShares,5,1,Good,5,2,4,3
No,34,Travel_Rarely,1346,R & D,19,College,Medical,1,14,Medium,Male,93,High,JuniorLevel,Laboratory Technician,Very High,Divorced,2661,8758,0,No,11,Excellent,High,80,<100ESOPShares,3,2,Better,2,2,1,2
Yes,28,Travel_Rarely,103,R & D,24,Bachelor,Life Sciences,1,15,High,Male,50,Medium,JuniorLevel,Laboratory Technician,High,Single,2028,12947,5,Yes,14,Excellent,Medium,80,NoStockOption,6,4,Better,4,2,0,3
No,29,Travel_Rarely,1389,R & D,21,Master,Life Sciences,1,16,Medium,Female,51,Very High,SeniorLevelL1,Manufacturing Director,Low,Divorced,9980,10195,1,No,11,Excellent,High,80,<100ESOPShares,10,1,Better,10,9,8,8
No,32,Travel_Rarely,334,R & D,5,College,Life Sciences,1,17,Low,Male,80,Very High,JuniorLevel,Research Scientist,Medium,Divorced,3298,15053,0,Yes,12,Excellent,Very High,80,100-500ESOPShares,7,5,Good,6,2,0,5
No,22,Non-Travel,1123,R & D,16,College,Medical,1,18,Very High,Male,96,Very High,JuniorLevel,Laboratory Technician,Very High,Divorced,2935,7324,1,Yes,13,Excellent,Medium,80,100-500ESOPShares,1,2,Good,1,0,0,0
No,53,Travel_Rarely,1219,Sales,2,Master,Life Sciences,1,19,Low,Female,78,Medium,SeniorLevelL2,Manager,Very High,Married,15427,22021,2,No,16,Excellent,High,80,NoStockOption,31,3,Better,25,8,3,7
No,38,Travel_Rarely,371,R & D,2,Bachelor,Life Sciences,1,20,Very High,Male,45,High,JuniorLevel,Research Scientist,Very High,Single,3944,4306,5,Yes,11,Excellent,High,80,NoStockOption,6,3,Better,3,2,1,2
No,24,Non-Travel,673,R & D,11,College,Other,1,21,Low,Female,96,Very High,MidLevel,Manufacturing Director,High,Divorced,4011,8232,0,No,18,Excellent,Very High,80,<100ESOPShares,5,5,Good,4,2,1,3
Yes,36,Travel_Rarely,1218,Sales,9,Master,Life Sciences,1,22,High,Male,82,Medium,JuniorLevel,Sales Representative,Low,Single,3407,6986,7,No,23,Outstanding,Medium,80,NoStockOption,10,4,Better,5,3,0,3
No,34,Travel_Rarely,419,R & D,7,Master,Life Sciences,1,23,Low,Female,53,High,SeniorLevelL1,Research Director,Medium,Single,11994,21293,0,No,11,Excellent,High,80,NoStockOption,13,4,Better,12,6,2,11
No,21,Travel_Rarely,391,R & D,15,College,Life Sciences,1,24,High,Male,96,High,JuniorLevel,Research Scientist,Very High,Single,1232,19281,1,No,14,Excellent,Very High,80,NoStockOption,0,6,Better,0,0,0,0
Yes,34,Travel_Rarely,699,R & D,6,Below College,Medical,1,25,Medium,Male,83,High,JuniorLevel,Research Scientist,Low,Single,2960,17102,2,No,11,Excellent,High,80,NoStockOption,8,2,Better,4,2,1,3
No,53,Travel_Rarely,1282,R & D,5,Bachelor,Other,1,26,High,Female,58,High,SeniorLevelL3,Manager,High,Divorced,19094,10735,4,No,11,Excellent,Very High,80,<100ESOPShares,26,3,Good,14,13,4,8
Yes,32,Travel_Frequently,1125,R & D,16,Below College,Life Sciences,1,27,Medium,Female,72,Low,JuniorLevel,Research Scientist,Low,Single,3919,4681,1,Yes,22,Outstanding,Medium,80,NoStockOption,10,5,Better,10,2,6,7
No,42,Travel_Rarely,691,Sales,8,Master,Marketing,1,28,High,Male,48,High,MidLevel,Sales Executive,Medium,Married,6825,21173,0,No,11,Excellent,Very High,80,<100ESOPShares,10,2,Better,9,7,4,2
No,44,Travel_Rarely,477,R & D,7,Master,Medical,1,29,Low,Female,42,Medium,SeniorLevelL1,Healthcare Representative,Very High,Married,10248,2094,3,No,14,Excellent,Very High,80,<100ESOPShares,24,4,Better,22,6,5,17
No,46,Travel_Rarely,705,Sales,2,Master,Marketing,1,30,Medium,Female,83,High,SeniorLevelL3,Manager,Low,Single,18947,22822,3,No,12,Excellent,Very High,80,NoStockOption,22,2,Good,2,2,2,1
No,33,Travel_Rarely,924,R & D,2,Bachelor,Medical,1,31,High,Male,78,High,JuniorLevel,Laboratory Technician,Very High,Single,2496,6670,4,No,11,Excellent,Very High,80,NoStockOption,7,3,Better,1,1,0,0
No,44,Travel_Rarely,1459,R & D,10,Master,Other,1,32,Very High,Male,41,High,MidLevel,Healthcare Representative,Very High,Married,6465,19121,2,Yes,13,Excellent,Very High,80,NoStockOption,9,5,Best,4,2,1,3
No,30,Travel_Rarely,125,R & D,9,College,Medical,1,33,Very High,Male,83,Medium,JuniorLevel,Laboratory Technician,High,Single,2206,16117,1,No,13,Excellent,Low,80,NoStockOption,10,5,Better,10,0,1,8
Yes,39,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,1,34,Very High,Male,56,High,MidLevel,Sales Representative,Very High,Married,2086,3335,3,No,14,Excellent,High,80,<100ESOPShares,19,6,Best,1,0,0,0
Yes,24,Travel_Rarely,813,R & D,1,Bachelor,Medical,1,35,Medium,Male,61,High,JuniorLevel,Research Scientist,Very High,Married,2293,3020,2,Yes,16,Excellent,Low,80,<100ESOPShares,6,2,Good,2,0,2,0
No,43,Travel_Rarely,1273,R & D,2,College,Medical,1,36,Very High,Female,72,Very High,JuniorLevel,Research Scientist,High,Divorced,2645,21923,1,No,12,Excellent,Very High,80,100-500ESOPShares,6,3,Good,5,3,1,4
Yes,50,Travel_Rarely,869,Sales,3,College,Marketing,1,37,Low,Male,86,Medium,JuniorLevel,Sales Representative,High,Married,2683,3810,1,Yes,14,Excellent,High,80,NoStockOption,3,2,Better,3,2,0,2
No,35,Travel_Rarely,890,Sales,2,Bachelor,Marketing,1,38,Very High,Female,97,High,JuniorLevel,Sales Representative,Very High,Married,2014,9687,1,No,13,Excellent,Low,80,NoStockOption,2,3,Better,2,2,2,2
No,36,Travel_Rarely,852,R & D,5,Master,Life Sciences,1,39,Medium,Female,82,Medium,JuniorLevel,Research Scientist,Low,Married,3419,13072,9,Yes,14,Excellent,Very High,80,<100ESOPShares,6,3,Best,1,1,0,0
No,33,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,1,40,High,Female,42,Very High,MidLevel,Sales Executive,Low,Married,5376,3193,2,No,19,Excellent,Low,80,100-500ESOPShares,10,3,Better,5,3,1,3
No,35,Travel_Rarely,464,R & D,4,College,Other,1,41,High,Male,75,High,JuniorLevel,Laboratory Technician,Very High,Divorced,1951,10910,1,No,12,Excellent,High,80,<100ESOPShares,1,3,Better,1,0,0,0
No,27,Travel_Rarely,1240,R & D,2,Master,Life Sciences,1,42,Very High,Female,33,High,JuniorLevel,Laboratory Technician,Low,Divorced,2341,19715,1,No,13,Excellent,Very High,80,<100ESOPShares,1,6,Better,1,0,0,0
Yes,26,Travel_Rarely,1357,R & D,25,Bachelor,Life Sciences,1,43,Low,Male,48,Low,JuniorLevel,Laboratory Technician,High,Single,2293,10558,1,No,12,Excellent,High,80,NoStockOption,1,2,Good,1,0,0,1
No,27,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,1,44,Very High,Male,37,High,SeniorLevelL1,Sales Executive,High,Single,8726,2975,1,No,15,Excellent,Very High,80,NoStockOption,9,0,Better,9,8,1,7
No,30,Travel_Frequently,721,R & D,1,College,Medical,1,45,High,Female,58,High,MidLevel,Laboratory Technician,Very High,Single,4011,10781,1,No,23,Outstanding,Very High,80,NoStockOption,12,2,Better,12,8,3,7
Yes,41,Travel_Rarely,1360,R & D,12,Bachelor,Technical Degree,1,46,Medium,Female,49,High,SeniorLevelL3,Research Director,High,Married,19545,16280,1,No,12,Excellent,Very High,80,NoStockOption,23,0,Better,22,15,15,8
No,34,Non-Travel,1065,Sales,23,Master,Marketing,1,47,Medium,Male,72,High,MidLevel,Sales Executive,High,Single,4568,10034,0,No,20,Outstanding,High,80,NoStockOption,10,2,Better,9,5,8,7
No,37,Travel_Rarely,408,R & D,19,College,Life Sciences,1,48,Medium,Male,73,High,JuniorLevel,Research Scientist,Medium,Married,3022,10227,4,No,21,Outstanding,Low,80,NoStockOption,8,1,Better,1,0,0,0
No,46,Travel_Frequently,1211,Sales,5,Master,Marketing,1,49,Low,Male,98,High,MidLevel,Sales Executive,Very High,Single,5772,20445,4,Yes,21,Outstanding,High,80,NoStockOption,14,4,Better,9,6,0,8
No,35,Travel_Rarely,1229,R & D,8,Below College,Life Sciences,1,50,Very High,Male,36,Very High,JuniorLevel,Laboratory Technician,Very High,Married,2269,4892,1,No,19,Excellent,Very High,80,NoStockOption,1,2,Better,1,0,0,1
Yes,48,Travel_Rarely,626,R & D,1,College,Life Sciences,1,51,Low,Male,98,Medium,SeniorLevelL1,Laboratory Technician,High,Single,5381,19294,9,Yes,13,Excellent,Very High,80,NoStockOption,23,2,Better,1,0,0,0
Yes,28,Travel_Rarely,1434,R & D,5,Master,Technical Degree,1,52,High,Male,50,High,JuniorLevel,Laboratory Technician,High,Single,3441,11179,1,Yes,13,Excellent,High,80,NoStockOption,2,3,Good,2,2,2,2
No,44,Travel_Rarely,1488,Sales,1,Doctor,Marketing,1,53,Medium,Female,75,High,MidLevel,Sales Executive,Low,Divorced,5454,4009,5,Yes,21,Outstanding,High,80,<100ESOPShares,9,2,Good,4,3,1,3
No,35,Non-Travel,1097,R & D,11,College,Medical,1,54,High,Male,79,Medium,SeniorLevelL1,Healthcare Representative,Low,Married,9884,8302,2,Yes,13,Excellent,High,80,<100ESOPShares,10,3,Better,4,0,2,3
No,26,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,1,55,High,Female,47,Medium,MidLevel,Sales Executive,Very High,Married,4157,21436,7,Yes,19,Excellent,High,80,<100ESOPShares,5,2,Good,2,2,0,0
No,33,Travel_Frequently,515,R & D,1,College,Life Sciences,1,56,Low,Female,98,High,SeniorLevelL1,Research Director,Very High,Single,13458,15146,1,Yes,12,Excellent,High,80,NoStockOption,15,1,Better,15,14,8,12
No,35,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,1,57,Medium,Male,71,High,SeniorLevelL1,Sales Executive,Low,Married,9069,11031,1,No,22,Outstanding,Very High,80,<100ESOPShares,9,3,Good,9,8,1,8
No,35,Travel_Rarely,1142,R & D,23,Master,Medical,1,58,High,Female,30,High,JuniorLevel,Laboratory Technician,Low,Married,4014,16002,3,Yes,15,Excellent,High,80,<100ESOPShares,4,3,Better,2,2,2,2
No,31,Travel_Rarely,655,R & D,7,Master,Life Sciences,1,59,Very High,Male,48,High,MidLevel,Laboratory Technician,Very High,Divorced,5915,9528,3,No,22,Outstanding,Very High,80,<100ESOPShares,10,3,Good,7,7,1,7
No,37,Travel_Rarely,1115,R & D,1,Master,Life Sciences,1,60,Low,Male,51,Medium,MidLevel,Manufacturing Director,High,Divorced,5993,2689,1,No,18,Excellent,High,80,<100ESOPShares,7,2,Best,7,5,0,7
No,32,Travel_Rarely,427,R & D,1,Bachelor,Medical,1,61,Low,Male,33,High,MidLevel,Manufacturing Director,Very High,Married,6162,10877,1,Yes,22,Outstanding,Medium,80,<100ESOPShares,9,3,Better,9,8,7,8
No,38,Travel_Frequently,653,R & D,29,Doctor,Life Sciences,1,62,Very High,Female,50,High,MidLevel,Laboratory Technician,Very High,Single,2406,5456,1,No,11,Excellent,Very High,80,NoStockOption,10,2,Better,10,3,9,9
No,50,Travel_Rarely,989,R & D,7,College,Medical,1,63,Medium,Female,43,Medium,SeniorLevelL3,Research Director,High,Divorced,18740,16701,5,Yes,12,Excellent,Very High,80,<100ESOPShares,29,2,Good,27,3,13,8
No,59,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,1,64,Low,Female,99,High,SeniorLevelL1,Sales Executive,Low,Single,7637,2354,7,No,11,Excellent,Very High,80,NoStockOption,28,3,Good,21,16,7,9
No,36,Travel_Rarely,1223,R & D,8,Bachelor,Technical Degree,1,65,High,Female,59,High,SeniorLevelL1,Healthcare Representative,High,Divorced,10096,8202,1,No,13,Excellent,Medium,80,>500ESOPShares,17,2,Better,17,14,12,8
No,55,Travel_Rarely,836,R & D,8,Bachelor,Medical,1,66,Very High,Female,33,High,SeniorLevelL2,Manager,High,Divorced,14756,19730,2,Yes,14,Excellent,High,80,>500ESOPShares,21,2,Better,5,0,0,2
No,36,Travel_Frequently,1195,R & D,11,Bachelor,Life Sciences,1,67,Medium,Male,95,Medium,MidLevel,Manufacturing Director,Medium,Single,6499,22656,1,No,13,Excellent,High,80,NoStockOption,6,3,Better,6,5,0,3
No,45,Travel_Rarely,1339,R & D,7,Bachelor,Life Sciences,1,68,Medium,Male,59,High,SeniorLevelL1,Research Scientist,Low,Divorced,9724,18787,2,No,17,Excellent,High,80,<100ESOPShares,25,2,Better,1,0,0,0
No,35,Travel_Frequently,664,R & D,1,Bachelor,Medical,1,69,Medium,Male,79,High,JuniorLevel,Research Scientist,Low,Married,2194,5868,4,No,13,Excellent,Very High,80,<100ESOPShares,5,2,Good,3,2,1,2
Yes,36,Travel_Rarely,318,R & D,9,Bachelor,Medical,1,70,Very High,Male,79,Medium,JuniorLevel,Research Scientist,High,Married,3388,21777,0,Yes,17,Excellent,Low,80,<100ESOPShares,2,0,Good,1,0,0,0
No,59,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,1,71,Low,Female,57,Medium,MidLevel,Sales Executive,High,Single,5473,24668,7,No,11,Excellent,Very High,80,NoStockOption,20,2,Good,4,3,1,3
No,29,Travel_Rarely,1328,R & D,2,Bachelor,Life Sciences,1,72,High,Male,76,High,JuniorLevel,Research Scientist,Medium,Married,2703,4956,0,No,23,Outstanding,Very High,80,<100ESOPShares,6,3,Better,5,4,0,4
No,31,Travel_Rarely,1082,R & D,1,Master,Medical,1,73,High,Male,87,High,JuniorLevel,Research Scientist,Medium,Single,2501,18775,1,No,17,Excellent,Medium,80,NoStockOption,1,4,Better,1,1,1,0
No,32,Travel_Rarely,548,R & D,1,Bachelor,Life Sciences,1,74,Medium,Male,66,High,MidLevel,Research Scientist,Medium,Married,6220,7346,1,No,17,Excellent,Medium,80,100-500ESOPShares,10,3,Better,10,4,0,9
No,36,Travel_Rarely,132,R & D,6,Bachelor,Life Sciences,1,75,Medium,Female,55,Very High,JuniorLevel,Laboratory Technician,Very High,Married,3038,22002,3,No,12,Excellent,Medium,80,NoStockOption,5,3,Better,1,0,0,0
No,31,Travel_Rarely,746,R & D,8,Master,Life Sciences,1,76,High,Female,61,High,MidLevel,Manufacturing Director,Very High,Single,4424,20682,1,No,23,Outstanding,Very High,80,NoStockOption,11,2,Better,11,7,1,8
No,35,Travel_Rarely,776,Sales,1,Master,Marketing,1,77,High,Male,32,Medium,MidLevel,Sales Executive,Low,Single,4312,23016,0,No,14,Excellent,Medium,80,NoStockOption,16,2,Better,15,13,2,8
No,45,Travel_Rarely,193,R & D,6,Master,Other,1,78,Very High,Male,52,High,SeniorLevelL1,Research Director,Low,Married,13245,15067,4,Yes,14,Excellent,Medium,80,NoStockOption,17,3,Best,0,0,0,0
No,37,Travel_Rarely,397,R & D,7,Master,Medical,1,79,Low,Male,30,High,SeniorLevelL1,Research Director,High,Single,13664,25258,4,No,13,Excellent,Low,80,NoStockOption,16,3,Best,5,2,0,2
No,46,Travel_Rarely,945,Human Resources,5,College,Medical,1,80,Medium,Male,80,High,MidLevel,Human Resources,Medium,Divorced,5021,10425,8,Yes,22,Outstanding,Very High,80,<100ESOPShares,16,2,Better,4,2,0,2
No,30,Travel_Rarely,852,R & D,1,Below College,Life Sciences,1,81,Very High,Male,55,Medium,MidLevel,Laboratory Technician,Very High,Married,5126,15998,1,Yes,12,Excellent,High,80,100-500ESOPShares,10,1,Good,10,8,3,0
No,35,Travel_Rarely,1214,R & D,1,Bachelor,Medical,1,82,Medium,Male,30,Medium,JuniorLevel,Research Scientist,High,Single,2859,26278,1,No,18,Excellent,Low,80,NoStockOption,6,3,Better,6,4,0,4
No,55,Travel_Rarely,111,Sales,1,College,Life Sciences,1,83,Low,Male,70,High,SeniorLevelL1,Sales Executive,Very High,Married,10239,18092,3,No,14,Excellent,Very High,80,<100ESOPShares,24,4,Better,1,0,1,0
No,38,Non-Travel,573,R & D,6,Bachelor,Medical,1,84,Medium,Female,79,Low,MidLevel,Research Scientist,Very High,Divorced,5329,15717,7,Yes,12,Excellent,Very High,80,>500ESOPShares,17,3,Better,13,11,1,9
No,34,Travel_Rarely,1153,R & D,1,College,Medical,1,85,Low,Male,94,High,MidLevel,Manufacturing Director,Medium,Married,4325,17736,1,No,15,Excellent,High,80,NoStockOption,5,2,Better,5,2,1,3
No,56,Travel_Rarely,1400,R & D,7,Bachelor,Life Sciences,1,86,Very High,Male,49,Low,SeniorLevelL1,Manufacturing Director,Very High,Single,7260,21698,4,No,11,Excellent,Low,80,NoStockOption,37,3,Good,6,4,0,2
No,23,Travel_Rarely,541,Sales,2,Below College,Technical Degree,1,87,High,Male,62,High,JuniorLevel,Sales Representative,Low,Divorced,2322,9518,3,No,13,Excellent,High,80,<100ESOPShares,3,3,Better,0,0,0,0
No,51,Travel_Rarely,432,R & D,9,Master,Life Sciences,1,88,Very High,Male,96,High,JuniorLevel,Laboratory Technician,Very High,Married,2075,18725,3,No,23,Outstanding,Medium,80,100-500ESOPShares,10,4,Better,4,2,0,3
No,30,Travel_Rarely,288,R & D,2,Bachelor,Life Sciences,1,89,High,Male,99,Medium,MidLevel,Healthcare Representative,Very High,Married,4152,15830,1,No,19,Excellent,Low,80,>500ESOPShares,11,3,Better,11,10,10,8
Yes,46,Travel_Rarely,669,Sales,9,College,Medical,1,90,High,Male,64,Medium,SeniorLevelL1,Sales Executive,Very High,Single,9619,13596,1,No,16,Excellent,Very High,80,NoStockOption,9,3,Better,9,8,4,7
No,40,Travel_Frequently,530,R & D,1,Master,Life Sciences,1,91,High,Male,78,Medium,SeniorLevelL2,Healthcare Representative,Medium,Married,13503,14115,1,No,22,Outstanding,Very High,80,<100ESOPShares,22,3,Good,22,3,11,11
No,51,Travel_Rarely,632,Sales,21,Master,Marketing,1,92,High,Male,71,High,MidLevel,Sales Executive,Very High,Single,5441,8423,0,Yes,22,Outstanding,Very High,80,NoStockOption,11,2,Bad,10,7,1,0
No,30,Travel_Rarely,1334,Sales,4,College,Medical,1,93,High,Female,63,Medium,MidLevel,Sales Executive,Medium,Divorced,5209,19760,1,Yes,12,Excellent,Medium,80,>500ESOPShares,11,4,Good,11,8,2,7
No,46,Travel_Frequently,638,R & D,1,Bachelor,Medical,1,94,High,Male,40,Medium,SeniorLevelL1,Healthcare Representative,Low,Married,10673,3142,2,Yes,13,Excellent,High,80,<100ESOPShares,21,5,Good,10,9,9,5
No,32,Travel_Rarely,1093,Sales,6,Master,Medical,1,95,Medium,Male,87,High,MidLevel,Sales Executive,High,Single,5010,24301,1,No,16,Excellent,Low,80,NoStockOption,12,0,Better,11,8,5,7
No,54,Travel_Rarely,1217,R & D,2,Master,Technical Degree,1,96,Low,Female,60,High,SeniorLevelL1,Research Director,High,Married,13549,24001,9,No,12,Excellent,Low,80,<100ESOPShares,16,5,Bad,4,3,0,3
No,24,Travel_Rarely,1353,Sales,3,College,Other,1,97,Low,Female,33,High,MidLevel,Sales Executive,High,Married,4999,17519,0,No,21,Outstanding,Low,80,<100ESOPShares,4,2,Good,3,2,0,2
No,28,Non-Travel,120,Sales,4,Bachelor,Medical,1,98,Medium,Male,43,High,MidLevel,Sales Executive,High,Married,4221,8863,1,No,15,Excellent,Medium,80,NoStockOption,5,3,Best,5,4,0,4
No,58,Travel_Rarely,682,Sales,10,Master,Medical,1,99,Very High,Male,37,High,SeniorLevelL2,Sales Executive,High,Single,13872,24409,0,No,13,Excellent,High,80,NoStockOption,38,1,Good,37,10,1,8
No,44,Non-Travel,489,R & D,23,Bachelor,Medical,1,100,Medium,Male,67,High,MidLevel,Laboratory Technician,Medium,Married,2042,25043,4,No,12,Excellent,High,80,<100ESOPShares,17,3,Best,3,2,1,2
Yes,37,Travel_Rarely,807,Human Resources,6,Master,Human Resources,1,101,High,Male,63,High,JuniorLevel,Human Resources,Low,Divorced,2073,23648,4,Yes,22,Outstanding,Very High,80,NoStockOption,7,3,Better,3,2,0,2
No,32,Travel_Rarely,827,R & D,1,Below College,Life Sciences,1,102,Very High,Male,71,High,JuniorLevel,Research Scientist,Low,Single,2956,15178,1,No,13,Excellent,Very High,80,NoStockOption,1,2,Better,1,0,0,0
Yes,20,Travel_Frequently,871,R & D,6,Bachelor,Life Sciences,1,103,Very High,Female,66,Medium,JuniorLevel,Laboratory Technician,Very High,Single,2926,19783,1,Yes,18,Excellent,Medium,80,NoStockOption,1,5,Better,1,0,1,0
No,34,Travel_Rarely,665,R & D,6,Master,Other,1,104,Low,Female,41,High,MidLevel,Research Scientist,High,Single,4809,12482,1,No,14,Excellent,High,80,NoStockOption,16,3,Better,16,13,2,10
No,37,Non-Travel,1040,R & D,2,College,Life Sciences,1,105,High,Male,100,Medium,MidLevel,Healthcare Representative,Very High,Divorced,5163,15850,5,No,14,Excellent,Very High,80,<100ESOPShares,17,2,Best,1,0,0,0
No,59,Non-Travel,1420,Human Resources,2,Master,Human Resources,1,106,High,Female,32,Medium,SeniorLevelL3,Manager,Very High,Married,18844,21922,9,No,21,Outstanding,Very High,80,<100ESOPShares,30,3,Better,3,2,2,2
No,50,Travel_Frequently,1115,R & D,1,Bachelor,Life Sciences,1,107,Low,Female,73,High,SeniorLevelL3,Research Director,Medium,Married,18172,9755,3,Yes,19,Excellent,Low,80,NoStockOption,28,1,Good,8,3,0,7
Yes,25,Travel_Rarely,240,Sales,5,Bachelor,Marketing,1,108,High,Male,46,Medium,MidLevel,Sales Executive,High,Single,5744,26959,1,Yes,11,Excellent,Very High,80,NoStockOption,6,1,Better,6,4,0,3
No,25,Travel_Rarely,1280,R & D,7,Below College,Medical,1,109,Very High,Male,64,Medium,JuniorLevel,Research Scientist,Very High,Married,2889,26897,1,No,11,Excellent,High,80,100-500ESOPShares,2,2,Better,2,2,2,1
No,22,Travel_Rarely,534,R & D,15,Bachelor,Medical,1,110,Medium,Female,59,High,JuniorLevel,Laboratory Technician,Very High,Single,2871,23785,1,No,15,Excellent,High,80,NoStockOption,1,5,Better,0,0,0,0
No,51,Travel_Frequently,1456,R & D,1,Master,Medical,1,111,Low,Female,30,Medium,SeniorLevelL1,Healthcare Representative,Low,Single,7484,25796,3,No,20,Outstanding,High,80,NoStockOption,23,1,Good,13,12,12,8
Yes,34,Travel_Frequently,658,R & D,7,Bachelor,Life Sciences,1,112,Low,Male,66,Low,MidLevel,Laboratory Technician,High,Single,6074,22887,1,Yes,24,Outstanding,Very High,80,NoStockOption,9,3,Better,9,7,0,6
No,54,Non-Travel,142,Human Resources,26,Bachelor,Human Resources,1,113,Very High,Female,30,Very High,SeniorLevelL2,Manager,Very High,Single,17328,13871,2,Yes,12,Excellent,High,80,NoStockOption,23,3,Better,5,3,4,4
No,24,Travel_Rarely,1127,R & D,18,Below College,Life Sciences,1,114,Medium,Male,52,High,JuniorLevel,Laboratory Technician,High,Married,2774,13257,0,No,12,Excellent,High,80,<100ESOPShares,6,2,Better,5,3,1,2
No,34,Travel_Rarely,1031,R & D,6,Master,Life Sciences,1,115,High,Female,45,Medium,MidLevel,Research Scientist,Medium,Divorced,4505,15000,6,No,15,Excellent,High,80,<100ESOPShares,12,3,Better,1,0,0,0
No,37,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,1,116,High,Male,87,High,SeniorLevelL1,Sales Executive,Very High,Single,7428,14506,2,No,12,Excellent,Low,80,NoStockOption,12,3,Better,5,3,1,3
No,34,Travel_Rarely,1354,R & D,5,Bachelor,Medical,1,117,High,Female,45,Medium,SeniorLevelL1,Manager,Low,Single,11631,5615,2,No,12,Excellent,Very High,80,NoStockOption,14,6,Better,11,10,5,8
